welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.414,2,0,92,16,1,91,M,k,E,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.513,2,0,92,22,1,91,R,c,B,C,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.444,2,0,92,29,1,91,i,R,D,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.529,2,0,92,41,1,91,n,c,f,c,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.479,2,0,92,33,1,91,M,R,E,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.547,2,0,92,24,1,91,c,R,C,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.43,2,0,92,2,1,91,c,i,C,D,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.479,2,0,92,18,1,91,k,n,A,F,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.63,2,0,92,25,1,91,c,R,C,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.413,2,0,92,28,1,91,i,R,D,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.531,2,0,92,39,1,91,M,c,e,c,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.463,2,0,92,7,1,91,k,c,A,C,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.364,2,0,92,29,1,91,i,R,D,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.596,2,0,92,12,1,91,i,k,D,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.546,2,0,92,36,1,91,n,R,F,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.413,2,0,92,0,1,91,k,R,A,B,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.596,2,0,92,40,1,91,c,n,c,f,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.464,2,0,92,43,1,91,M,i,e,d,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.647,2,0,92,35,1,91,R,n,B,F,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.43,2,0,92,32,1,91,M,R,E,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.448,2,0,92,17,1,91,M,k,E,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.713,2,0,92,38,1,91,c,M,C,E,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.579,2,0,92,13,1,91,i,k,D,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.395,2,0,92,20,1,91,n,k,F,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.413,2,0,92,24,1,91,c,R,C,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.447,2,0,92,45,1,91,n,i,f,d,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.547,2,0,92,2,1,91,c,i,C,D,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.53,2,0,92,14,1,91,k,M,A,E,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.496,2,0,92,22,1,91,R,c,B,C,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.48,2,0,92,31,1,91,R,M,B,E,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.611,2,0,92,27,1,91,R,i,B,D,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.444,2,0,92,26,1,91,R,i,B,D,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.547,2,0,92,11,1,91,k,i,A,D,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.664,2,0,92,34,1,91,R,n,B,F,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.446,2,0,92,10,1,91,k,i,A,D,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.462,2,0,92,33,1,91,M,R,E,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.546,2,0,92,19,1,91,k,n,A,F,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.798,2,0,92,3,1,91,i,c,D,C,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.545,2,0,92,8,1,91,c,k,C,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.495,2,0,92,21,1,91,n,k,F,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.596,2,0,92,23,1,91,R,c,B,C,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.596,2,0,92,30,1,91,R,M,B,E,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.396,2,0,92,16,1,91,M,k,E,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.463,2,0,92,9,1,91,c,k,C,A,m,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.597,2,0,92,41,1,91,n,c,f,c,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.497,2,0,92,42,1,91,i,M,d,e,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.396,2,0,92,1,1,91,R,k,B,A,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.578,2,0,92,5,1,91,n,M,F,E,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.412,2,0,92,44,1,91,i,n,d,f,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.462,2,0,92,6,1,91,k,c,A,C,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.58,2,0,92,37,1,91,n,R,F,B,,c,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.497,2,0,92,15,1,91,k,M,A,E,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,c,0.497,2,0,92,4,1,91,M,n,E,F,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_17h34.11.885,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.16
