welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,Participant ID*,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,check_resp.keys,check_resp.rt,learnt_resp.keys,learnt_resp.rt,checks.thisRepN,checks.thisTrialN,checks.thisN,checks.thisIndex,checks.ran,checks.order,question,learnt_letters,numbers,outro_resp2.keys,outro_resp2.rt
m,4.83,c,8.383,c,0,0.926,1,0,10,9,1,9,p1.jpg,p2.jpg,m,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.546,1,0,10,0,1,9,p1.jpg,p2.jpg,c,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,1,0,10,2,1,9,p2.jpg,p1.jpg,m,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,1.112,1,0,10,7,1,9,p2.jpg,p1.jpg,m,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.579,1,0,10,3,1,9,p2.jpg,p1.jpg,m,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.529,1,0,10,5,1,9,p1.jpg,p2.jpg,c,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.462,1,0,10,1,1,9,p1.jpg,p2.jpg,c,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.429,1,0,10,6,1,9,p1.jpg,p2.jpg,c,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.414,1,0,10,8,1,9,p2.jpg,p1.jpg,c,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.361,1,0,10,4,1,9,p1.jpg,p2.jpg,c,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,c,5.938,c,11.588,m,0,0.579,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,13,1,179,l23.jpg,l24.jpg,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,c,0,0.528,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,8,1,179,l21.jpg,l22.jpg,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,c,0,0.763,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,23,1,179,l26.jpg,l25.jpg,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0104,2019-06-11_16h22.58.478,Probabilistic Learning,3.1.0,60,,,,,m,0,0.579,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,10,1,179,l23.jpg,l24.jpg,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
