welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,Participant ID*,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,check_resp.keys,check_resp.rt,learnt_resp.keys,learnt_resp.rt,checks.thisRepN,checks.thisTrialN,checks.thisN,checks.thisIndex,checks.ran,checks.order,question,learnt_letters,numbers,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.655,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,21,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.675,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,8,1,179,s,J,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.668,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,14,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,0,0.538,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,18,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.553,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,20,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,0,0.654,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,10,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.522,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,11,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.806,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,6,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.638,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,22,1,179,V,W,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,0,0.595,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,29,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.711,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,3,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.721,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,27,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.74,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,17,1,179,b,o,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.748,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,2,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.756,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,13,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.504,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,19,1,179,o,b,m,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.755,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,4,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.673,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,0,1,179,s,J,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.891,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,26,1,179,V,W,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.521,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,28,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.442,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,24,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.923,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,12,1,179,o,b,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.588,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,16,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.689,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,5,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.505,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,15,1,179,b,o,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.871,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,23,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.739,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,7,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,0,0.471,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,9,1,179,J,s,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,0,0.871,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,25,1,179,W,V,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,c,1,0.453,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,29,1,179,W,V,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10000,2019-06-04_13h33.31.286,Probabilistic Learning,3.1.0,60,,,,,m,1,0.538,1,0,3,1,1,2,hiragana2.xlsx,hiragana21.xlsx,hiragana22.xlsx,6,0,180,7,1,179,J,s,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
